tag,class,depth,text_length,has_img,label
ul,footerLinksColumnList-YEcDt_jj,12,115,False,unlabeled
li,,13,12,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,12,False,unlabeled
li,,13,10,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,10,False,unlabeled
li,,13,14,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,14,False,unlabeled
li,,13,14,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,14,False,unlabeled
li,,13,23,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,23,False,unlabeled
li,,13,13,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,13,False,unlabeled
li,,13,18,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,18,False,unlabeled
li,,13,11,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,11,False,unlabeled
div,footerLinksColumn-YEcDt_jj,11,93,False,unlabeled
span,footerLinksColumnTitle-YEcDt_jj,12,18,False,unlabeled
ul,footerLinksColumnList-YEcDt_jj,12,75,False,unlabeled
li,,13,18,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,18,False,unlabeled
li,,13,19,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,19,False,unlabeled
li,,13,15,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,15,False,unlabeled
li,,13,16,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,16,False,unlabeled
div,footerLinksColumn-YEcDt_jj,11,84,False,unlabeled
span,footerLinksColumnTitle-YEcDt_jj,12,20,False,unlabeled
ul,footerLinksColumnList-YEcDt_jj,12,64,False,unlabeled
li,,13,11,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,11,False,unlabeled
li,,13,21,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,21,False,unlabeled
li,,13,15,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,15,False,unlabeled
li,,13,17,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,17,False,unlabeled
div,footerLinksGroup-YEcDt_jj,10,157,False,unlabeled
div,footerLinksColumn-YEcDt_jj,11,70,False,unlabeled
ul,footerLinksColumnList-YEcDt_jj,12,61,False,unlabeled
li,,13,14,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,14,False,unlabeled
li,,13,12,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,12,False,unlabeled
li,,13,14,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,14,False,unlabeled
li,,13,11,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,11,False,unlabeled
li,,13,10,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,10,False,unlabeled
div,footerLinksColumn-YEcDt_jj,11,35,False,unlabeled
ul,footerLinksColumnList-YEcDt_jj,12,30,False,unlabeled
li,,13,14,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,14,False,unlabeled
div,footerLinksColumn-YEcDt_jj,11,52,False,unlabeled
span,footerLinksColumnTitle-YEcDt_jj,12,11,False,unlabeled
ul,footerLinksColumnList-YEcDt_jj,12,41,False,unlabeled
li,,13,23,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,23,False,unlabeled
li,,13,11,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,11,False,unlabeled
div,footerLinksGroup-YEcDt_jj,10,177,False,unlabeled
div,footerLinksColumn-YEcDt_jj,11,93,False,unlabeled
span,footerLinksColumnTitle-YEcDt_jj,12,18,False,unlabeled
ul,footerLinksColumnList-YEcDt_jj,12,75,False,unlabeled
li,,13,18,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,18,False,unlabeled
li,,13,19,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,19,False,unlabeled
li,,13,15,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,15,False,unlabeled
li,,13,16,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,16,False,unlabeled
div,footerLinksColumn-YEcDt_jj,11,84,False,unlabeled
span,footerLinksColumnTitle-YEcDt_jj,12,20,False,unlabeled
ul,footerLinksColumnList-YEcDt_jj,12,64,False,unlabeled
li,,13,11,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,11,False,unlabeled
li,,13,21,False,unlabeled
a,footerLinksColumnListItem-YEcDt_jj,14,21,False,unlabeled
li,,13,15,False,unlabeled
